               Entry              Nevents                           Time                    Temperature                         Energy                 CO*                   CO
                   1                    0         0.0000000000000000E+00         3.0000000000000000E+02         0.0000000000000000E+00                   0                    0
                   2                 1000         1.3072343958299489E-09         3.0000000000000000E+02        -1.7359999999999992E+01                  40                  -40
                   3                 2000         2.4999950305961144E-09         3.0000000000000000E+02        -1.7359999999999992E+01                  40                  -40
                   4                 3000         3.7136626026768530E-09         3.0000000000000000E+02        -1.7359999999999992E+01                  40                  -40
                   5                 4000         4.9515065094883548E-09         3.0000000000000000E+02        -1.7359999999999992E+01                  40                  -40
                   6                 5000         6.1973906794454978E-09         3.0000000000000000E+02        -1.6491999999999990E+01                  38                  -38
                   7                 6000         7.5259121013576424E-09         3.0000000000000000E+02        -1.7359999999999992E+01                  40                  -40
                   8                 7000         8.7210654576833938E-09         3.0000000000000000E+02        -1.6491999999999990E+01                  38                  -38
                   9                 8000         9.9782298573125013E-09         3.0000000000000000E+02        -1.7359999999999992E+01                  40                  -40
                  10                 9000         1.1296918785069060E-08         3.0000000000000000E+02        -1.7359999999999992E+01                  40                  -40
                  11                10000         1.2590630264362483E-08         3.0000000000000000E+02        -1.7359999999999992E+01                  40                  -40
                  12                11000         1.3861238743327888E-08         3.0000000000000000E+02        -1.7359999999999992E+01                  40                  -40
                  13                12000         1.5161575361612831E-08         3.0000000000000000E+02        -1.7359999999999992E+01                  40                  -40
                  14                13000         1.6431216194541018E-08         3.0000000000000000E+02        -1.7359999999999992E+01                  40                  -40
                  15                14000         1.7623774676956802E-08         3.0000000000000000E+02        -1.7359999999999992E+01                  40                  -40
                  16                15000         1.8985539738247855E-08         3.0000000000000000E+02        -1.7359999999999992E+01                  40                  -40
                  17                16000         2.0312037121728133E-08         3.0000000000000000E+02        -1.7359999999999992E+01                  40                  -40
                  18                17000         2.1768082674288528E-08         3.0000000000000000E+02        -1.7359999999999992E+01                  40                  -40
                  19                18000         2.3004708340553771E-08         3.0000000000000000E+02        -1.7359999999999992E+01                  40                  -40
                  20                19000         2.4305665787801212E-08         3.0000000000000000E+02        -1.7359999999999992E+01                  40                  -40
                  21                20000         2.5570091787664219E-08         3.0000000000000000E+02        -1.7359999999999992E+01                  40                  -40
                  22                21000         2.6867468655787253E-08         3.0000000000000000E+02        -1.7359999999999992E+01                  40                  -40
                  23                22000         2.8121332982286544E-08         3.0000000000000000E+02        -1.7359999999999992E+01                  40                  -40
                  24                23000         2.9349749691604914E-08         3.0000000000000000E+02        -1.7359999999999992E+01                  40                  -40
                  25                24000         3.0578976017222090E-08         3.0000000000000000E+02        -1.7359999999999992E+01                  40                  -40
                  26                25000         3.1712002408072403E-08         3.0000000000000000E+02        -1.7359999999999992E+01                  40                  -40
                  27                26000         3.3041756050935050E-08         3.0000000000000000E+02        -1.7359999999999992E+01                  40                  -40
                  28                27000         3.4363754981457503E-08         3.0000000000000000E+02        -1.7359999999999992E+01                  40                  -40
                  29                28000         3.5546113161753275E-08         3.0000000000000000E+02        -1.7359999999999992E+01                  40                  -40
                  30                29000         3.6778237356907821E-08         3.0000000000000000E+02        -1.7359999999999992E+01                  40                  -40
                  31                30000         3.8127828711338342E-08         3.0000000000000000E+02        -1.7359999999999992E+01                  40                  -40
                  32                31000         3.9337552001626304E-08         3.0000000000000000E+02        -1.7359999999999992E+01                  40                  -40
                  33                32000         4.0476242628950447E-08         3.0000000000000000E+02        -1.7359999999999992E+01                  40                  -40
                  34                33000         4.1698246984050115E-08         3.0000000000000000E+02        -1.7359999999999992E+01                  40                  -40
                  35                34000         4.2954035518144463E-08         3.0000000000000000E+02        -1.7359999999999992E+01                  40                  -40
                  36                35000         4.4168192357457509E-08         3.0000000000000000E+02        -1.7359999999999992E+01                  40                  -40
                  37                36000         4.5367175192998420E-08         3.0000000000000000E+02        -1.7359999999999992E+01                  40                  -40
                  38                37000         4.6614303993655194E-08         3.0000000000000000E+02        -1.7359999999999992E+01                  40                  -40
                  39                38000         4.7950732550399241E-08         3.0000000000000000E+02        -1.7359999999999992E+01                  40                  -40
                  40                39000         4.9228796323073750E-08         3.0000000000000000E+02        -1.7359999999999992E+01                  40                  -40
                  41                40000         5.0460308908091379E-08         3.0000000000000000E+02        -1.7359999999999992E+01                  40                  -40
                  42                41000         5.1703515906560661E-08         3.0000000000000000E+02        -1.7359999999999992E+01                  40                  -40
                  43                42000         5.3061575742817100E-08         3.0000000000000000E+02        -1.7359999999999992E+01                  40                  -40
                  44                43000         5.4438519664211359E-08         3.0000000000000000E+02        -1.7359999999999992E+01                  40                  -40
                  45                44000         5.5647944070501562E-08         3.0000000000000000E+02        -1.7359999999999992E+01                  40                  -40
                  46                45000         5.7020400545255138E-08         3.0000000000000000E+02        -1.7359999999999992E+01                  40                  -40
                  47                46000         5.8291090102558396E-08         3.0000000000000000E+02        -1.7359999999999992E+01                  40                  -40
                  48                47000         5.9573673350802751E-08         3.0000000000000000E+02        -1.7359999999999992E+01                  40                  -40
                  49                48000         6.0791425315953756E-08         3.0000000000000000E+02        -1.7359999999999992E+01                  40                  -40
                  50                49000         6.2135203686656049E-08         3.0000000000000000E+02        -1.7359999999999992E+01                  40                  -40
                  51                50000         6.3301794773598023E-08         3.0000000000000000E+02        -1.7359999999999992E+01                  40                  -40
                  52                51000         6.4500743187210729E-08         3.0000000000000000E+02        -1.7359999999999992E+01                  40                  -40
                  53                52000         6.5735827361102555E-08         3.0000000000000000E+02        -1.7359999999999992E+01                  40                  -40
                  54                53000         6.7049022571421073E-08         3.0000000000000000E+02        -1.7359999999999992E+01                  40                  -40
                  55                54000         6.8251763056218525E-08         3.0000000000000000E+02        -1.7359999999999992E+01                  40                  -40
                  56                55000         6.9519324277147261E-08         3.0000000000000000E+02        -1.7359999999999992E+01                  40                  -40
                  57                56000         7.0773190880585771E-08         3.0000000000000000E+02        -1.7359999999999992E+01                  40                  -40
                  58                57000         7.2097637513540123E-08         3.0000000000000000E+02        -1.7359999999999992E+01                  40                  -40
                  59                58000         7.3411030361125480E-08         3.0000000000000000E+02        -1.7359999999999992E+01                  40                  -40
                  60                59000         7.4690722163751521E-08         3.0000000000000000E+02        -1.7359999999999992E+01                  40                  -40
                  61                60000         7.6044737312289642E-08         3.0000000000000000E+02        -1.7359999999999992E+01                  40                  -40
                  62                61000         7.7412652183663227E-08         3.0000000000000000E+02        -1.7359999999999992E+01                  40                  -40
                  63                62000         7.8718434921680919E-08         3.0000000000000000E+02        -1.7359999999999992E+01                  40                  -40
                  64                63000         7.9953039005764414E-08         3.0000000000000000E+02        -1.7359999999999992E+01                  40                  -40
                  65                64000         8.1265402744077332E-08         3.0000000000000000E+02        -1.7359999999999992E+01                  40                  -40
                  66                65000         8.2562113529687284E-08         3.0000000000000000E+02        -1.7359999999999992E+01                  40                  -40
                  67                66000         8.3846779891318042E-08         3.0000000000000000E+02        -1.7359999999999992E+01                  40                  -40
                  68                67000         8.5021427583401385E-08         3.0000000000000000E+02        -1.7359999999999992E+01                  40                  -40
                  69                68000         8.6271747980980913E-08         3.0000000000000000E+02        -1.7359999999999992E+01                  40                  -40
                  70                69000         8.7435418875060641E-08         3.0000000000000000E+02        -1.7359999999999992E+01                  40                  -40
                  71                70000         8.8660173633264959E-08         3.0000000000000000E+02        -1.7359999999999992E+01                  40                  -40
                  72                71000         8.9903884018282569E-08         3.0000000000000000E+02        -1.7359999999999992E+01                  40                  -40
                  73                72000         9.1259858338375553E-08         3.0000000000000000E+02        -1.7359999999999992E+01                  40                  -40
                  74                73000         9.2611858002686335E-08         3.0000000000000000E+02        -1.7359999999999992E+01                  40                  -40
                  75                74000         9.3840287278784266E-08         3.0000000000000000E+02        -1.7359999999999992E+01                  40                  -40
                  76                75000         9.5030705369459203E-08         3.0000000000000000E+02        -1.7359999999999992E+01                  40                  -40
                  77                76000         9.6261183485284783E-08         3.0000000000000000E+02        -1.7359999999999992E+01                  40                  -40
                  78                77000         9.7551489469033746E-08         3.0000000000000000E+02        -1.7359999999999992E+01                  40                  -40
                  79                78000         9.8684450461297283E-08         3.0000000000000000E+02        -1.7359999999999992E+01                  40                  -40
                  80                79000         1.0000447354057474E-07         3.0000000000000000E+02        -1.7359999999999992E+01                  40                  -40
                  81                80000         1.0136198378983821E-07         3.0000000000000000E+02        -1.7359999999999992E+01                  40                  -40
                  82                81000         1.0253802724252849E-07         3.0000000000000000E+02        -1.7359999999999992E+01                  40                  -40
                  83                82000         1.0384584642382654E-07         3.0000000000000000E+02        -1.7359999999999992E+01                  40                  -40
                  84                83000         1.0507008253268991E-07         3.0000000000000000E+02        -1.7359999999999992E+01                  40                  -40
                  85                84000         1.0633963049334561E-07         3.0000000000000000E+02        -1.7359999999999992E+01                  40                  -40
                  86                85000         1.0760869092687815E-07         3.0000000000000000E+02        -1.7359999999999992E+01                  40                  -40
                  87                86000         1.0895905169276911E-07         3.0000000000000000E+02        -1.7359999999999992E+01                  40                  -40
                  88                87000         1.1032474487445581E-07         3.0000000000000000E+02        -1.7359999999999992E+01                  40                  -40
                  89                88000         1.1156886820243735E-07         3.0000000000000000E+02        -1.7359999999999992E+01                  40                  -40
                  90                89000         1.1281278139801911E-07         3.0000000000000000E+02        -1.7359999999999992E+01                  40                  -40
                  91                90000         1.1403087780992606E-07         3.0000000000000000E+02        -1.7359999999999992E+01                  40                  -40
                  92                91000         1.1523723520618985E-07         3.0000000000000000E+02        -1.7359999999999992E+01                  40                  -40
                  93                92000         1.1640740491558094E-07         3.0000000000000000E+02        -1.7359999999999992E+01                  40                  -40
                  94                93000         1.1773431521714286E-07         3.0000000000000000E+02        -1.7359999999999992E+01                  40                  -40
                  95                94000         1.1896594546017284E-07         3.0000000000000000E+02        -1.7359999999999992E+01                  40                  -40
                  96                95000         1.2025805333585534E-07         3.0000000000000000E+02        -1.7359999999999992E+01                  40                  -40
                  97                96000         1.2152225891654061E-07         3.0000000000000000E+02        -1.7359999999999992E+01                  40                  -40
                  98                97000         1.2284224379008392E-07         3.0000000000000000E+02        -1.6491999999999990E+01                  38                  -38
                  99                98000         1.2411766666336259E-07         3.0000000000000000E+02        -1.7359999999999992E+01                  40                  -40
                 100                99000         1.2534409119099820E-07         3.0000000000000000E+02        -1.7359999999999992E+01                  40                  -40
