               Entry              Nevents                           Time                    Temperature                         Energy                 CO*                   CO
                   1                    0         0.0000000000000000E+00         3.0000000000000000E+02         0.0000000000000000E+00                   0                    0
                   2                 1000         3.4126032472787005E-09         3.0000000000000000E+02        -5.2080000000000011E+00                  12                  -12
                   3                 2000         6.7218698065737197E-09         3.0000000000000000E+02        -8.6800000000000015E+00                  20                  -20
                   4                 3000         9.9917516632356347E-09         3.0000000000000000E+02        -6.9440000000000017E+00                  16                  -16
                   5                 4000         1.3486482875567155E-08         3.0000000000000000E+02        -5.2080000000000011E+00                  12                  -12
                   6                 5000         1.6933322401928979E-08         3.0000000000000000E+02        -6.0760000000000014E+00                  14                  -14
                   7                 6000         2.0537478096389256E-08         3.0000000000000000E+02        -7.8120000000000021E+00                  18                  -18
                   8                 7000         2.3988814637662828E-08         3.0000000000000000E+02        -5.2080000000000011E+00                  12                  -12
                   9                 8000         2.7431316124072024E-08         3.0000000000000000E+02        -6.9440000000000017E+00                  16                  -16
                  10                 9000         3.0994735606923206E-08         3.0000000000000000E+02        -6.9440000000000017E+00                  16                  -16
                  11                10000         3.4247470032986480E-08         3.0000000000000000E+02        -7.8120000000000021E+00                  18                  -18
                  12                11000         3.7644546886982196E-08         3.0000000000000000E+02        -5.2080000000000011E+00                  12                  -12
                  13                12000         4.1269570481905711E-08         3.0000000000000000E+02        -6.9440000000000017E+00                  16                  -16
                  14                13000         4.4691727917252630E-08         3.0000000000000000E+02        -6.9440000000000017E+00                  16                  -16
                  15                14000         4.8135127650960951E-08         3.0000000000000000E+02        -6.9440000000000017E+00                  16                  -16
                  16                15000         5.1548289585624831E-08         3.0000000000000000E+02        -7.8120000000000021E+00                  18                  -18
                  17                16000         5.5130600630074422E-08         3.0000000000000000E+02        -6.0760000000000014E+00                  14                  -14
                  18                17000         5.8749694301026862E-08         3.0000000000000000E+02        -5.2080000000000011E+00                  12                  -12
                  19                18000         6.2220058286515428E-08         3.0000000000000000E+02        -7.8120000000000021E+00                  18                  -18
                  20                19000         6.5585952865362344E-08         3.0000000000000000E+02        -5.2080000000000011E+00                  12                  -12
                  21                20000         6.8984124686371964E-08         3.0000000000000000E+02        -1.0415999999999999E+01                  24                  -24
                  22                21000         7.2403703950748120E-08         3.0000000000000000E+02        -6.9440000000000017E+00                  16                  -16
                  23                22000         7.5803674375927427E-08         3.0000000000000000E+02        -8.6800000000000015E+00                  20                  -20
                  24                23000         7.9021992920293649E-08         3.0000000000000000E+02        -6.9440000000000017E+00                  16                  -16
                  25                24000         8.2393937951290063E-08         3.0000000000000000E+02        -6.9440000000000017E+00                  16                  -16
                  26                25000         8.5601848324567890E-08         3.0000000000000000E+02        -7.8120000000000021E+00                  18                  -18
                  27                26000         8.8977681007668810E-08         3.0000000000000000E+02        -6.0760000000000014E+00                  14                  -14
                  28                27000         9.2496157196940531E-08         3.0000000000000000E+02        -4.3400000000000007E+00                  10                  -10
                  29                28000         9.5860901221829312E-08         3.0000000000000000E+02        -6.9440000000000017E+00                  16                  -16
                  30                29000         9.9170284990760322E-08         3.0000000000000000E+02        -7.8120000000000021E+00                  18                  -18
                  31                30000         1.0276273449327962E-07         3.0000000000000000E+02        -6.9440000000000017E+00                  16                  -16
                  32                31000         1.0625335943585298E-07         3.0000000000000000E+02        -5.2080000000000011E+00                  12                  -12
                  33                32000         1.0961492182948046E-07         3.0000000000000000E+02        -6.9440000000000017E+00                  16                  -16
                  34                33000         1.1305219692607292E-07         3.0000000000000000E+02        -7.8120000000000021E+00                  18                  -18
                  35                34000         1.1648390011545459E-07         3.0000000000000000E+02        -4.3400000000000007E+00                  10                  -10
                  36                35000         1.1971347100197930E-07         3.0000000000000000E+02        -6.0760000000000014E+00                  14                  -14
                  37                36000         1.2285740967367924E-07         3.0000000000000000E+02        -4.3400000000000007E+00                  10                  -10
                  38                37000         1.2634484307420289E-07         3.0000000000000000E+02        -4.3400000000000007E+00                  10                  -10
                  39                38000         1.2977110490513108E-07         3.0000000000000000E+02        -7.8120000000000021E+00                  18                  -18
                  40                39000         1.3313234549262588E-07         3.0000000000000000E+02        -6.9440000000000017E+00                  16                  -16
                  41                40000         1.3655924243105605E-07         3.0000000000000000E+02        -6.0760000000000014E+00                  14                  -14
                  42                41000         1.4003747607105058E-07         3.0000000000000000E+02        -1.0415999999999999E+01                  24                  -24
                  43                42000         1.4331964157342191E-07         3.0000000000000000E+02        -6.0760000000000014E+00                  14                  -14
                  44                43000         1.4676606394619408E-07         3.0000000000000000E+02        -6.9440000000000017E+00                  16                  -16
                  45                44000         1.5006704789394023E-07         3.0000000000000000E+02        -4.3400000000000007E+00                  10                  -10
                  46                45000         1.5356935701064582E-07         3.0000000000000000E+02        -3.4720000000000004E+00                   8                   -8
                  47                46000         1.5694342827826541E-07         3.0000000000000000E+02        -6.0760000000000014E+00                  14                  -14
                  48                47000         1.6042081764603836E-07         3.0000000000000000E+02        -7.8120000000000021E+00                  18                  -18
                  49                48000         1.6383328580979469E-07         3.0000000000000000E+02        -3.4720000000000004E+00                   8                   -8
                  50                49000         1.6734916468544867E-07         3.0000000000000000E+02        -5.2080000000000011E+00                  12                  -12
                  51                50000         1.7078464293540053E-07         3.0000000000000000E+02        -6.0760000000000014E+00                  14                  -14
                  52                51000         1.7403045766791178E-07         3.0000000000000000E+02        -5.2080000000000011E+00                  12                  -12
                  53                52000         1.7749300008340872E-07         3.0000000000000000E+02        -6.0760000000000014E+00                  14                  -14
                  54                53000         1.8116900818859999E-07         3.0000000000000000E+02        -6.9440000000000017E+00                  16                  -16
                  55                54000         1.8436285006149727E-07         3.0000000000000000E+02        -4.3400000000000007E+00                  10                  -10
                  56                55000         1.8783874429928873E-07         3.0000000000000000E+02        -6.0760000000000014E+00                  14                  -14
                  57                56000         1.9112623810231507E-07         3.0000000000000000E+02        -6.9440000000000017E+00                  16                  -16
                  58                57000         1.9456807738373217E-07         3.0000000000000000E+02        -6.9440000000000017E+00                  16                  -16
                  59                58000         1.9803161472578805E-07         3.0000000000000000E+02        -6.0760000000000014E+00                  14                  -14
                  60                59000         2.0147036835571345E-07         3.0000000000000000E+02        -9.5480000000000000E+00                  22                  -22
                  61                60000         2.0502701689500384E-07         3.0000000000000000E+02        -7.8120000000000021E+00                  18                  -18
                  62                61000         2.0850876371686033E-07         3.0000000000000000E+02        -6.9440000000000017E+00                  16                  -16
                  63                62000         2.1191214300964528E-07         3.0000000000000000E+02        -7.8120000000000021E+00                  18                  -18
                  64                63000         2.1522130863507060E-07         3.0000000000000000E+02        -6.9440000000000017E+00                  16                  -16
                  65                64000         2.1873313605209054E-07         3.0000000000000000E+02        -6.9440000000000017E+00                  16                  -16
                  66                65000         2.2220550126730074E-07         3.0000000000000000E+02        -6.0760000000000014E+00                  14                  -14
                  67                66000         2.2575058166913380E-07         3.0000000000000000E+02        -7.8120000000000021E+00                  18                  -18
                  68                67000         2.2915286658056573E-07         3.0000000000000000E+02        -8.6800000000000015E+00                  20                  -20
                  69                68000         2.3242578169034836E-07         3.0000000000000000E+02        -6.9440000000000017E+00                  16                  -16
                  70                69000         2.3573997612479017E-07         3.0000000000000000E+02        -6.0760000000000014E+00                  14                  -14
