               Entry              Nevents                           Time                    Temperature                         Energy                 CO*                 CH4*                   CO                  CH4
                 239               238000         9.8130891558591077E-07         3.0000000000000000E+02        -9.1009999999996012E+00                   5                   29                   -5                  -29
                 240               239000         9.8519269882251885E-07         3.0000000000000000E+02        -6.7989999999995900E+00                   3                   23                   -3                  -23
                 241               240000         9.8926853377880390E-07         3.0000000000000000E+02        -8.2329999999995973E+00                   3                   29                   -3                  -29
                 242               241000         9.9342069478341165E-07         3.0000000000000000E+02        -9.2959999999995979E+00                   6                   28                   -6                  -28
                 243               242000         9.9735959803237482E-07         3.0000000000000000E+02        -1.0641999999999598E+01                   8                   30                   -8                  -30
                 244               243000         1.0013812250983200E-06         3.0000000000000000E+02        -8.3399999999996073E+00                   6                   24                   -6                  -24
                 245               244000         1.0055574101004641E-06         3.0000000000000000E+02        -7.5599999999996204E+00                   2                   28                   -2                  -28
                 246               245000         1.0097432037435791E-06         3.0000000000000000E+02        -8.2329999999996133E+00                   3                   29                   -3                  -29
                 247               246000         1.0141241322641562E-06         3.0000000000000000E+02        -8.2519999999996170E+00                   8                   20                   -8                  -20
                 248               247000         1.0182355006806355E-06         3.0000000000000000E+02        -1.1314999999999618E+01                   9                   31                   -9                  -31
                 249               248000         1.0222053081463405E-06         3.0000000000000000E+02        -9.8619999999996200E+00                   4                   34                   -4                  -34
                 250               249000         1.0262897676055323E-06         3.0000000000000000E+02        -7.8619999999995995E+00                   6                   22                   -6                  -22
                 251               250000         1.0303732376801130E-06         3.0000000000000000E+02        -1.4767999999999603E+01                  12                   40                  -12                  -40
                 252               251000         1.0342208354686484E-06         3.0000000000000000E+02        -8.1449999999995946E+00                   5                   25                   -5                  -25
                 253               252000         1.0380844765076797E-06         3.0000000000000000E+02        -1.0446999999999587E+01                   7                   31                   -7                  -31
                 254               253000         1.0422709978503405E-06         3.0000000000000000E+02        -7.9499999999995987E+00                   4                   26                   -4                  -26
                 255               254000         1.0464346594090478E-06         3.0000000000000000E+02        -9.2959999999996050E+00                   6                   28                   -6                  -28
                 256               255000         1.0504437140242564E-06         3.0000000000000000E+02        -1.2660999999999607E+01                  11                   33                  -11                  -33
                 257               256000         1.0545754196153079E-06         3.0000000000000000E+02        -9.6859999999996038E+00                   8                   26                   -8                  -26
                 258               257000         1.0589189926336501E-06         3.0000000000000000E+02        -1.0729999999999613E+01                   6                   34                   -6                  -34
                 259               258000         1.0632088493240518E-06         3.0000000000000000E+02        -9.5789999999996009E+00                   5                   31                   -5                  -31
                 260               259000         1.0675170618233722E-06         3.0000000000000000E+02        -8.3399999999995877E+00                   6                   24                   -6                  -24
                 261               260000         1.0716608352261847E-06         3.0000000000000000E+02        -1.0144999999999586E+01                   3                   37                   -3                  -37
                 262               261000         1.0757735249252133E-06         3.0000000000000000E+02        -9.9499999999995676E+00                   2                   38                   -2                  -38
                 263               262000         1.0799434428144438E-06         3.0000000000000000E+02        -8.6229999999995623E+00                   5                   27                   -5                  -27
                 264               263000         1.0840239274645258E-06         3.0000000000000000E+02        -9.9689999999995642E+00                   7                   29                   -7                  -29
                 265               264000         1.0880632777591023E-06         3.0000000000000000E+02        -9.2959999999995659E+00                   6                   28                   -6                  -28
                 266               265000         1.0921116458689136E-06         3.0000000000000000E+02        -8.9939999999995646E+00                   2                   34                   -2                  -34
                 267               266000         1.0961988034053798E-06         3.0000000000000000E+02        -7.8619999999995445E+00                   6                   22                   -6                  -22
                 268               267000         1.1003183188014584E-06         3.0000000000000000E+02        -6.9939999999995512E+00                   4                   22                   -4                  -22
                 269               268000         1.1043606002903773E-06         3.0000000000000000E+02        -9.4909999999995414E+00                   7                   27                   -7                  -27
                 270               269000         1.1087028512134230E-06         3.0000000000000000E+02        -1.0817999999999566E+01                   4                   38                   -4                  -38
                 271               270000         1.1126478692518517E-06         3.0000000000000000E+02        -1.1314999999999555E+01                   9                   31                   -9                  -31
                 272               271000         1.1168127382783677E-06         3.0000000000000000E+02        -1.2075999999999555E+01                   8                   36                   -8                  -36
                 273               272000         1.1210506560688681E-06         3.0000000000000000E+02        -7.9499999999995383E+00                   4                   26                   -4                  -26
                 274               273000         1.1252798920696549E-06         3.0000000000000000E+02        -1.2641999999999552E+01                   6                   42                   -6                  -42
                 275               274000         1.1293982621854756E-06         3.0000000000000000E+02        -1.0553999999999553E+01                  10                   26                  -10                  -26
                 276               275000         1.1333351999702649E-06         3.0000000000000000E+02        -1.0622999999999571E+01                   3                   39                   -3                  -39
                 277               276000         1.1373797973149614E-06         3.0000000000000000E+02        -8.5159999999995595E+00                   2                   32                   -2                  -32
                 278               277000         1.1413926453241340E-06         3.0000000000000000E+02        -8.6229999999995588E+00                   5                   27                   -5                  -27
                 279               278000         1.1452838884227034E-06         3.0000000000000000E+02        -1.0358999999999545E+01                   9                   27                   -9                  -27
                 280               279000         1.1493933724598860E-06         3.0000000000000000E+02        -1.1031999999999549E+01                  10                   28                  -10                  -28
                 281               280000         1.1533441209877321E-06         3.0000000000000000E+02        -8.1449999999995502E+00                   5                   25                   -5                  -25
                 282               281000         1.1574875815006681E-06         3.0000000000000000E+02        -1.2075999999999553E+01                   8                   36                   -8                  -36
                 283               282000         1.1613595289880370E-06         3.0000000000000000E+02        -9.1009999999995479E+00                   5                   29                   -5                  -29
                 284               283000         1.1655018184005828E-06         3.0000000000000000E+02        -9.9689999999995269E+00                   7                   29                   -7                  -29
                 285               284000         1.1695906139466732E-06         3.0000000000000000E+02        -8.6229999999995233E+00                   5                   27                   -5                  -27
                 286               285000         1.1737768421992666E-06         3.0000000000000000E+02        -1.3138999999999530E+01                  11                   35                  -11                  -35
                 287               286000         1.1782039417846979E-06         3.0000000000000000E+02        -8.8179999999995182E+00                   6                   26                   -6                  -26
                 288               287000         1.1825481396485347E-06         3.0000000000000000E+02        -8.2329999999995032E+00                   3                   29                   -3                  -29
                 289               288000         1.1864846379334818E-06         3.0000000000000000E+02        -6.7989999999994897E+00                   3                   23                   -3                  -23
                 290               289000         1.1906087993085562E-06         3.0000000000000000E+02        -6.7989999999994826E+00                   3                   23                   -3                  -23
                 291               290000         1.1947222426757169E-06         3.0000000000000000E+02        -1.0163999999999493E+01                   8                   28                   -8                  -28
                 292               291000         1.1988140708242472E-06         3.0000000000000000E+02        -1.0056999999999503E+01                   5                   33                   -5                  -33
                 293               292000         1.2030377052322296E-06         3.0000000000000000E+02        -1.1685999999999497E+01                   6                   38                   -6                  -38
                 294               293000         1.2070494349194274E-06         3.0000000000000000E+02        -1.0056999999999496E+01                   5                   33                   -5                  -33
                 295               294000         1.2109750460372714E-06         3.0000000000000000E+02        -1.0924999999999496E+01                   7                   33                   -7                  -33
                 296               295000         1.2150392181012471E-06         3.0000000000000000E+02        -1.0836999999999490E+01                   9                   29                   -9                  -29
                 297               296000         1.2193571405135426E-06         3.0000000000000000E+02        -9.4909999999994898E+00                   7                   27                   -7                  -27
                 298               297000         1.2233935884583560E-06         3.0000000000000000E+02        -1.2553999999999506E+01                   8                   38                   -8                  -38
                 299               298000         1.2274515803300201E-06         3.0000000000000000E+02        -1.0836999999999495E+01                   9                   29                   -9                  -29
                 300               299000         1.2315651498350026E-06         3.0000000000000000E+02        -9.5789999999995068E+00                   5                   31                   -5                  -31
                 301               300000         1.2356621886569043E-06         3.0000000000000000E+02        -1.2075999999999514E+01                   8                   36                   -8                  -36
                 302               301000         1.2396239568001851E-06         3.0000000000000000E+02        -9.5789999999995246E+00                   5                   31                   -5                  -31
                 303               302000         1.2436223953228890E-06         3.0000000000000000E+02        -1.2446999999999539E+01                   5                   43                   -5                  -43
                 304               303000         1.2477377306866305E-06         3.0000000000000000E+02        -9.2959999999995357E+00                   6                   28                   -6                  -28
                 305               304000         1.2518460307087755E-06         3.0000000000000000E+02        -9.3839999999995403E+00                   4                   32                   -4                  -32
                 306               305000         1.2562990890606479E-06         3.0000000000000000E+02        -1.0163999999999533E+01                   8                   28                   -8                  -28
                 307               306000         1.2605336274472166E-06         3.0000000000000000E+02        -1.1119999999999520E+01                   8                   32                   -8                  -32
                 308               307000         1.2647168206105311E-06         3.0000000000000000E+02        -7.0819999999995140E+00                   2                   26                   -2                  -26
                 309               308000         1.2687386634553365E-06         3.0000000000000000E+02        -8.0379999999995118E+00                   2                   30                   -2                  -30
                 310               309000         1.2726469247882976E-06         3.0000000000000000E+02        -1.2943999999999521E+01                  10                   36                  -10                  -36
                 311               310000         1.2770158940932673E-06         3.0000000000000000E+02        -9.8619999999995187E+00                   4                   34                   -4                  -34
                 312               311000         1.2810730824346421E-06         3.0000000000000000E+02        -1.1031999999999503E+01                  10                   28                  -10                  -28
                 313               312000         1.2851369254099002E-06         3.0000000000000000E+02        -8.8179999999995093E+00                   6                   26                   -6                  -26
                 314               313000         1.2894753136927525E-06         3.0000000000000000E+02        -1.0163999999999504E+01                   8                   28                   -8                  -28
                 315               314000         1.2936163742844041E-06         3.0000000000000000E+02        -9.8619999999995152E+00                   4                   34                   -4                  -34
                 316               315000         1.2977202739998394E-06         3.0000000000000000E+02        -7.7549999999995167E+00                   3                   27                   -3                  -27
                 317               316000         1.3020033959678962E-06         3.0000000000000000E+02        -1.2358999999999526E+01                   7                   39                   -7                  -39
                 318               317000         1.3060449084427038E-06         3.0000000000000000E+02        -1.1100999999999523E+01                   3                   41                   -3                  -41
                 319               318000         1.3101869979754979E-06         3.0000000000000000E+02        -9.0129999999995025E+00                   7                   25                   -7                  -25
                 320               319000         1.3144616123734648E-06         3.0000000000000000E+02        -1.0446999999999498E+01                   7                   31                   -7                  -31
                 321               320000         1.3184312028961887E-06         3.0000000000000000E+02        -8.2329999999994907E+00                   3                   29                   -3                  -29
                 322               321000         1.3226328732385939E-06         3.0000000000000000E+02        -8.8179999999994880E+00                   6                   26                   -6                  -26
                 323               322000         1.3264958818895641E-06         3.0000000000000000E+02        -9.6669999999994953E+00                   3                   35                   -3                  -35
                 324               323000         1.3304360035144686E-06         3.0000000000000000E+02        -8.5159999999994884E+00                   2                   32                   -2                  -32
                 325               324000         1.3342452587875959E-06         3.0000000000000000E+02        -1.1226999999999473E+01                  11                   27                  -11                  -27
                 326               325000         1.3384099049187810E-06         3.0000000000000000E+02        -9.2959999999994736E+00                   6                   28                   -6                  -28
                 327               326000         1.3424838677342485E-06         3.0000000000000000E+02        -9.4029999999994587E+00                   9                   23                   -9                  -23
                 328               327000         1.3463252061965986E-06         3.0000000000000000E+02        -6.7989999999994550E+00                   3                   23                   -3                  -23
                 329               328000         1.3501862051797330E-06         3.0000000000000000E+02        -8.1449999999994649E+00                   5                   25                   -5                  -25
                 330               329000         1.3542318741551062E-06         3.0000000000000000E+02        -1.0163999999999463E+01                   8                   28                   -8                  -28
                 331               330000         1.3583457588057602E-06         3.0000000000000000E+02        -9.8809999999994549E+00                   9                   25                   -9                  -25
                 332               331000         1.3625984356485954E-06         3.0000000000000000E+02        -1.0251999999999468E+01                   6                   32                   -6                  -32
                 333               332000         1.3665414410483262E-06         3.0000000000000000E+02        -1.5157999999999470E+01                  14                   38                  -14                  -38
                 334               333000         1.3704687333916075E-06         3.0000000000000000E+02        -1.1100999999999475E+01                   3                   41                   -3                  -41
                 335               334000         1.3745856846557353E-06         3.0000000000000000E+02        -8.0379999999994567E+00                   2                   30                   -2                  -30
                 336               335000         1.3789106371095648E-06         3.0000000000000000E+02        -9.7739999999994502E+00                   6                   30                   -6                  -30
                 337               336000         1.3829240847217560E-06         3.0000000000000000E+02        -1.0446999999999438E+01                   7                   31                   -7                  -31
                 338               337000         1.3872510720974518E-06         3.0000000000000000E+02        -9.1889999999994387E+00                   3                   33                   -3                  -33
                 339               338000         1.3914830969800726E-06         3.0000000000000000E+02        -9.9689999999994363E+00                   7                   29                   -7                  -29
                 340               339000         1.3954393128669709E-06         3.0000000000000000E+02        -7.9499999999994229E+00                   4                   26                   -4                  -26
                 341               340000         1.3996049391062587E-06         3.0000000000000000E+02        -8.4279999999994271E+00                   4                   28                   -4                  -28
                 342               341000         1.4036669541983891E-06         3.0000000000000000E+02        -9.6859999999994155E+00                   8                   26                   -8                  -26
                 343               342000         1.4076611689463692E-06         3.0000000000000000E+02        -8.7109999999994230E+00                   3                   31                   -3                  -31
                 344               343000         1.4117012697793123E-06         3.0000000000000000E+02        -7.3649999999994122E+00                   1                   29                   -1                  -29
                 345               344000         1.4159038581587239E-06         3.0000000000000000E+02        -8.8179999999994063E+00                   6                   26                   -6                  -26
                 346               345000         1.4199080578810554E-06         3.0000000000000000E+02        -9.8809999999994123E+00                   9                   25                   -9                  -25
                 347               346000         1.4240153178599614E-06         3.0000000000000000E+02        -7.9499999999994140E+00                   4                   26                   -4                  -26
                 348               347000         1.4283197293666391E-06         3.0000000000000000E+02        -9.5789999999994322E+00                   5                   31                   -5                  -31
                 349               348000         1.4323082291326662E-06         3.0000000000000000E+02        -1.0641999999999431E+01                   8                   30                   -8                  -30
                 350               349000         1.4364119421813572E-06         3.0000000000000000E+02        -8.1449999999994187E+00                   5                   25                   -5                  -25
                 351               350000         1.4403208512997634E-06         3.0000000000000000E+02        -8.4279999999994182E+00                   4                   28                   -4                  -28
                 352               351000         1.4444117821967588E-06         3.0000000000000000E+02        -1.1314999999999413E+01                   9                   31                   -9                  -31
                 353               352000         1.4486691784457024E-06         3.0000000000000000E+02        -9.4909999999994099E+00                   7                   27                   -7                  -27
                 354               353000         1.4529031819206358E-06         3.0000000000000000E+02        -9.1889999999994139E+00                   3                   33                   -3                  -33
                 355               354000         1.4570364027431743E-06         3.0000000000000000E+02        -9.8619999999994121E+00                   4                   34                   -4                  -34
                 356               355000         1.4613708128732572E-06         3.0000000000000000E+02        -9.2959999999994203E+00                   6                   28                   -6                  -28
                 357               356000         1.4656458707902260E-06         3.0000000000000000E+02        -8.9059999999994179E+00                   4                   30                   -4                  -30
                 358               357000         1.4696567540224952E-06         3.0000000000000000E+02        -8.2329999999994161E+00                   3                   29                   -3                  -29
                 359               358000         1.4738394923165829E-06         3.0000000000000000E+02        -9.1009999999993951E+00                   5                   29                   -5                  -29
                 360               359000         1.4778240233187837E-06         3.0000000000000000E+02        -9.9689999999993919E+00                   7                   29                   -7                  -29
                 361               360000         1.4821809965155947E-06         3.0000000000000000E+02        -8.4279999999993880E+00                   4                   28                   -4                  -28
                 362               361000         1.4859924955406455E-06         3.0000000000000000E+02        -9.4909999999994010E+00                   7                   27                   -7                  -27
                 363               362000         1.4901741979458070E-06         3.0000000000000000E+02        -1.0056999999999407E+01                   5                   33                   -5                  -33
                 364               363000         1.4942143914910134E-06         3.0000000000000000E+02        -1.2748999999999409E+01                   9                   37                   -9                  -37
                 365               364000         1.4983326781081219E-06         3.0000000000000000E+02        -8.0379999999993998E+00                   2                   30                   -2                  -30
                 366               365000         1.5025370176469116E-06         3.0000000000000000E+02        -8.1449999999993903E+00                   5                   25                   -5                  -25
                 367               366000         1.5064097400986159E-06         3.0000000000000000E+02        -1.0446999999999385E+01                   7                   31                   -7                  -31
                 368               367000         1.5104087635235874E-06         3.0000000000000000E+02        -9.2959999999993812E+00                   6                   28                   -6                  -28
                 369               368000         1.5145994019559909E-06         3.0000000000000000E+02        -8.1449999999993725E+00                   5                   25                   -5                  -25
                 370               369000         1.5189814015549283E-06         3.0000000000000000E+02        -9.1889999999993783E+00                   3                   33                   -3                  -33
                 371               370000         1.5233020999401879E-06         3.0000000000000000E+02        -9.2959999999993776E+00                   6                   28                   -6                  -28
                 372               371000         1.5274435559719795E-06         3.0000000000000000E+02        -9.3839999999993875E+00                   4                   32                   -4                  -32
                 373               372000         1.5314630244737824E-06         3.0000000000000000E+02        -9.1009999999993774E+00                   5                   29                   -5                  -29
                 374               373000         1.5355870974415937E-06         3.0000000000000000E+02        -9.2959999999993776E+00                   6                   28                   -6                  -28
                 375               374000         1.5397058966599461E-06         3.0000000000000000E+02        -9.2959999999993723E+00                   6                   28                   -6                  -28
                 376               375000         1.5439444338176325E-06         3.0000000000000000E+02        -7.1889999999993686E+00                   5                   21                   -5                  -21
                 377               376000         1.5480927175893431E-06         3.0000000000000000E+02        -1.1509999999999376E+01                  10                   30                  -10                  -30
                 378               377000         1.5521208826452935E-06         3.0000000000000000E+02        -9.0129999999993711E+00                   7                   25                   -7                  -25
                 379               378000         1.5561869020908984E-06         3.0000000000000000E+02        -8.6229999999993812E+00                   5                   27                   -5                  -27
                 380               379000         1.5601908723108236E-06         3.0000000000000000E+02        -1.1012999999999399E+01                   5                   37                   -5                  -37
                 381               380000         1.5644211700032172E-06         3.0000000000000000E+02        -8.5159999999993978E+00                   2                   32                   -2                  -32
                 382               381000         1.5683473892350941E-06         3.0000000000000000E+02        -1.2377999999999373E+01                  12                   30                  -12                  -30
                 383               382000         1.5725548185217149E-06         3.0000000000000000E+02        -1.1490999999999385E+01                   5                   39                   -5                  -39
                 384               383000         1.5766132101770582E-06         3.0000000000000000E+02        -9.0129999999993853E+00                   7                   25                   -7                  -25
                 385               384000         1.5807812594398401E-06         3.0000000000000000E+02        -9.7739999999993827E+00                   6                   30                   -6                  -30
                 386               385000         1.5848359662136932E-06         3.0000000000000000E+02        -8.9939999999993887E+00                   2                   34                   -2                  -34
                 387               386000         1.5889849475397854E-06         3.0000000000000000E+02        -9.3839999999993857E+00                   4                   32                   -4                  -32
                 388               387000         1.5930764579698992E-06         3.0000000000000000E+02        -8.3399999999993817E+00                   6                   24                   -6                  -24
                 389               388000         1.5974601314438358E-06         3.0000000000000000E+02        -9.1889999999993961E+00                   3                   33                   -3                  -33
                 390               389000         1.6014192941626618E-06         3.0000000000000000E+02        -9.9689999999993812E+00                   7                   29                   -7                  -29
                 391               390000         1.6056265390644947E-06         3.0000000000000000E+02        -8.1449999999993707E+00                   5                   25                   -5                  -25
                 392               391000         1.6095423987582256E-06         3.0000000000000000E+02        -1.0251999999999374E+01                   6                   32                   -6                  -32
                 393               392000         1.6137015028431269E-06         3.0000000000000000E+02        -1.0163999999999376E+01                   8                   28                   -8                  -28
                 394               393000         1.6178942731565680E-06         3.0000000000000000E+02        -1.1314999999999364E+01                   9                   31                   -9                  -31
                 395               394000         1.6219544029371116E-06         3.0000000000000000E+02        -1.1226999999999366E+01                  11                   27                  -11                  -27
                 396               395000         1.6261041188559307E-06         3.0000000000000000E+02        -9.7739999999993756E+00                   6                   30                   -6                  -30
                 397               396000         1.6303321239217976E-06         3.0000000000000000E+02        -8.5159999999993694E+00                   2                   32                   -2                  -32
                 398               397000         1.6344604764834463E-06         3.0000000000000000E+02        -1.1119999999999365E+01                   8                   32                   -8                  -32
                 399               398000         1.6384006291675888E-06         3.0000000000000000E+02        -8.5159999999993765E+00                   2                   32                   -2                  -32
                 400               399000         1.6423881096166579E-06         3.0000000000000000E+02        -8.5159999999993694E+00                   2                   32                   -2                  -32
                 401               400000         1.6466615370007185E-06         3.0000000000000000E+02        -8.4279999999993596E+00                   4                   28                   -4                  -28
                 402               401000         1.6510355939584872E-06         3.0000000000000000E+02        -9.2959999999993688E+00                   6                   28                   -6                  -28
                 403               402000         1.6550694032823937E-06         3.0000000000000000E+02        -1.0641999999999369E+01                   8                   30                   -8                  -30
                 404               403000         1.6592056956841298E-06         3.0000000000000000E+02        -9.3839999999993715E+00                   4                   32                   -4                  -32
                 405               404000         1.6632805786996501E-06         3.0000000000000000E+02        -8.1449999999993725E+00                   5                   25                   -5                  -25
                 406               405000         1.6672368131925693E-06         3.0000000000000000E+02        -9.1889999999993695E+00                   3                   33                   -3                  -33
                 407               406000         1.6714017455909409E-06         3.0000000000000000E+02        -9.6669999999993639E+00                   3                   35                   -3                  -35
                 408               407000         1.6756043717061523E-06         3.0000000000000000E+02        -6.7989999999993636E+00                   3                   23                   -3                  -23
                 409               408000         1.6796894256819298E-06         3.0000000000000000E+02        -7.4719999999993618E+00                   4                   24                   -4                  -24
                 410               409000         1.6838294655194594E-06         3.0000000000000000E+02        -1.0729999999999354E+01                   6                   34                   -6                  -34
                 411               410000         1.6878963982571116E-06         3.0000000000000000E+02        -1.0710999999999368E+01                   1                   43                   -1                  -43
                 412               411000         1.6922023366639424E-06         3.0000000000000000E+02        -1.0163999999999344E+01                   8                   28                   -8                  -28
                 413               412000         1.6962592338816300E-06         3.0000000000000000E+02        -8.8179999999993282E+00                   6                   26                   -6                  -26
                 414               413000         1.7003493174909358E-06         3.0000000000000000E+02        -9.1889999999993357E+00                   3                   33                   -3                  -33
                 415               414000         1.7046273430124822E-06         3.0000000000000000E+02        -8.4279999999993365E+00                   4                   28                   -4                  -28
                 416               415000         1.7087521309393496E-06         3.0000000000000000E+02        -1.1207999999999345E+01                   6                   36                   -6                  -36
                 417               416000         1.7129631220559472E-06         3.0000000000000000E+02        -1.1012999999999352E+01                   5                   37                   -5                  -37
                 418               417000         1.7173834345015658E-06         3.0000000000000000E+02        -9.5789999999993594E+00                   5                   31                   -5                  -31
                 419               418000         1.7214292641873328E-06         3.0000000000000000E+02        -8.1449999999993548E+00                   5                   25                   -5                  -25
                 420               419000         1.7255608768928284E-06         3.0000000000000000E+02        -8.1449999999993352E+00                   5                   25                   -5                  -25
                 421               420000         1.7298735407338697E-06         3.0000000000000000E+02        -9.8809999999993323E+00                   9                   25                   -9                  -25
                 422               421000         1.7338355469274659E-06         3.0000000000000000E+02        -9.3839999999993164E+00                   4                   32                   -4                  -32
                 423               422000         1.7377514878866807E-06         3.0000000000000000E+02        -1.1031999999999298E+01                  10                   28                  -10                  -28
                 424               423000         1.7419694015697022E-06         3.0000000000000000E+02        -8.4279999999993009E+00                   4                   28                   -4                  -28
                 425               424000         1.7461829333393376E-06         3.0000000000000000E+02        -8.6229999999992923E+00                   5                   27                   -5                  -27
                 426               425000         1.7500813250293794E-06         3.0000000000000000E+02        -1.1119999999999287E+01                   8                   32                   -8                  -32
                 427               426000         1.7541327654514635E-06         3.0000000000000000E+02        -1.2943999999999292E+01                  10                   36                  -10                  -36
                 428               427000         1.7581664455961688E-06         3.0000000000000000E+02        -8.2329999999992882E+00                   3                   29                   -3                  -29
                 429               428000         1.7623024962197589E-06         3.0000000000000000E+02        -1.0446999999999285E+01                   7                   31                   -7                  -31
                 430               429000         1.7666048277141462E-06         3.0000000000000000E+02        -9.0129999999992716E+00                   7                   25                   -7                  -25
                 431               430000         1.7706159712291479E-06         3.0000000000000000E+02        -9.5789999999992830E+00                   5                   31                   -5                  -31
                 432               431000         1.7747982056725894E-06         3.0000000000000000E+02        -1.0446999999999269E+01                   7                   31                   -7                  -31
                 433               432000         1.7792015213049998E-06         3.0000000000000000E+02        -8.3399999999992751E+00                   6                   24                   -6                  -24
                 434               433000         1.7834348680341467E-06         3.0000000000000000E+02        -1.0339999999999300E+01                   4                   36                   -4                  -36
                 435               434000         1.7875949552412213E-06         3.0000000000000000E+02        -1.1314999999999296E+01                   9                   31                   -9                  -31
                 436               435000         1.7918142179130485E-06         3.0000000000000000E+02        -9.3839999999992898E+00                   4                   32                   -4                  -32
                 437               436000         1.7962269329125564E-06         3.0000000000000000E+02        -7.0819999999992715E+00                   2                   26                   -2                  -26
                 438               437000         1.8003639280865034E-06         3.0000000000000000E+02        -9.6669999999992715E+00                   3                   35                   -3                  -35
                 439               438000         1.8045449632066229E-06         3.0000000000000000E+02        -8.4279999999992548E+00                   4                   28                   -4                  -28
                 440               439000         1.8088056418478219E-06         3.0000000000000000E+02        -1.1207999999999252E+01                   6                   36                   -6                  -36
                 441               440000         1.8128519260681166E-06         3.0000000000000000E+02        -1.0358999999999241E+01                   9                   27                   -9                  -27
                 442               441000         1.8170810189119465E-06         3.0000000000000000E+02        -9.7739999999992442E+00                   6                   30                   -6                  -30
                 443               442000         1.8211482371078976E-06         3.0000000000000000E+02        -9.8619999999992345E+00                   4                   34                   -4                  -34
                 444               443000         1.8254195480078565E-06         3.0000000000000000E+02        -1.1207999999999235E+01                   6                   36                   -6                  -36
                 445               444000         1.8298035554357071E-06         3.0000000000000000E+02        -1.0924999999999230E+01                   7                   33                   -7                  -33
                 446               445000         1.8338007692069664E-06         3.0000000000000000E+02        -1.0251999999999239E+01                   6                   32                   -6                  -32
                 447               446000         1.8381435208987764E-06         3.0000000000000000E+02        -1.2377999999999211E+01                  12                   30                  -12                  -30
                 448               447000         1.8420914255554593E-06         3.0000000000000000E+02        -1.2553999999999206E+01                   8                   38                   -8                  -38
                 449               448000         1.8461600548951816E-06         3.0000000000000000E+02        -1.0924999999999191E+01                   7                   33                   -7                  -33
                 450               449000         1.8503038896155095E-06         3.0000000000000000E+02        -1.1987999999999191E+01                  10                   32                  -10                  -32
                 451               450000         1.8542750514860785E-06         3.0000000000000000E+02        -6.8869999999991940E+00                   1                   27                   -1                  -27
                 452               451000         1.8584771364872169E-06         3.0000000000000000E+02        -1.0446999999999184E+01                   7                   31                   -7                  -31
                 453               452000         1.8625334518160303E-06         3.0000000000000000E+02        -8.2329999999991941E+00                   3                   29                   -3                  -29
                 454               453000         1.8665810541371153E-06         3.0000000000000000E+02        -9.5789999999991977E+00                   5                   31                   -5                  -31
                 455               454000         1.8707343270974366E-06         3.0000000000000000E+02        -1.0924999999999200E+01                   7                   33                   -7                  -33
                 456               455000         1.8750487323859817E-06         3.0000000000000000E+02        -9.7739999999991998E+00                   6                   30                   -6                  -30
                 457               456000         1.8790839083460767E-06         3.0000000000000000E+02        -1.2182999999999197E+01                  11                   31                  -11                  -31
                 458               457000         1.8832072184719515E-06         3.0000000000000000E+02        -9.8619999999991954E+00                   4                   34                   -4                  -34
                 459               458000         1.8873035610424971E-06         3.0000000000000000E+02        -1.1226999999999181E+01                  11                   27                  -11                  -27
                 460               459000         1.8913755981230034E-06         3.0000000000000000E+02        -7.9499999999991759E+00                   4                   26                   -4                  -26
                 461               460000         1.8955233967497864E-06         3.0000000000000000E+02        -8.7109999999991814E+00                   3                   31                   -3                  -31
                 462               461000         1.8994751544083970E-06         3.0000000000000000E+02        -8.8179999999991789E+00                   6                   26                   -6                  -26
                 463               462000         1.9035069757926948E-06         3.0000000000000000E+02        -9.7739999999991696E+00                   6                   30                   -6                  -30
                 464               463000         1.9077150399344226E-06         3.0000000000000000E+02        -9.5789999999991746E+00                   5                   31                   -5                  -31
                 465               464000         1.9118195843115404E-06         3.0000000000000000E+02        -1.0534999999999185E+01                   5                   35                   -5                  -35
                 466               465000         1.9159067992158413E-06         3.0000000000000000E+02        -9.2959999999991751E+00                   6                   28                   -6                  -28
                 467               466000         1.9201326740568819E-06         3.0000000000000000E+02        -9.8619999999991830E+00                   4                   34                   -4                  -34
                 468               467000         1.9243033860425559E-06         3.0000000000000000E+02        -9.4719999999991806E+00                   2                   36                   -2                  -36
                 469               468000         1.9284649955326181E-06         3.0000000000000000E+02        -9.9689999999991628E+00                   7                   29                   -7                  -29
                 470               469000         1.9326003088521255E-06         3.0000000000000000E+02        -1.0924999999999182E+01                   7                   33                   -7                  -33
                 471               470000         1.9366613095297541E-06         3.0000000000000000E+02        -7.8429999999991793E+00                   1                   31                   -1                  -31
                 472               471000         1.9409165336749130E-06         3.0000000000000000E+02        -8.4279999999991908E+00                   4                   28                   -4                  -28
                 473               472000         1.9449409005937306E-06         3.0000000000000000E+02        -8.9059999999991959E+00                   4                   30                   -4                  -30
                 474               473000         1.9489898518606706E-06         3.0000000000000000E+02        -7.1889999999991909E+00                   5                   21                   -5                  -21
                 475               474000         1.9528852637670675E-06         3.0000000000000000E+02        -1.2270999999999194E+01                   9                   35                   -9                  -35
                 476               475000         1.9570983045123373E-06         3.0000000000000000E+02        -8.6229999999991875E+00                   5                   27                   -5                  -27
                 477               476000         1.9611089305527124E-06         3.0000000000000000E+02        -1.1597999999999194E+01                   8                   34                   -8                  -34
                 478               477000         1.9652270674109061E-06         3.0000000000000000E+02        -8.6229999999992000E+00                   5                   27                   -5                  -27
