               Entry              Nevents                           Time                    Temperature                         Energy                 CO*                 CH4*                   CO                  CH4
                  55                54000         2.2262765113646585E-07         3.0000000000000000E+02        -1.0553999999999823E+01                  10                   26                  -10                  -26
                  56                55000         2.2665690546360616E-07         3.0000000000000000E+02        -9.8809999999998332E+00                   9                   25                   -9                  -25
                  57                56000         2.3094059272837790E-07         3.0000000000000000E+02        -9.5789999999998443E+00                   5                   31                   -5                  -31
                  58                57000         2.3500569885298097E-07         3.0000000000000000E+02        -8.6229999999998501E+00                   5                   27                   -5                  -27
                  59                58000         2.3899462107393018E-07         3.0000000000000000E+02        -8.9059999999998514E+00                   4                   30                   -4                  -30
                  60                59000         2.4298735796239320E-07         3.0000000000000000E+02        -1.0339999999999838E+01                   4                   36                   -4                  -36
                  61                60000         2.4700406379431187E-07         3.0000000000000000E+02        -1.0446999999999832E+01                   7                   31                   -7                  -31
                  62                61000         2.5108986175010912E-07         3.0000000000000000E+02        -1.1207999999999833E+01                   6                   36                   -6                  -36
                  63                62000         2.5530308544584673E-07         3.0000000000000000E+02        -7.7549999999998160E+00                   3                   27                   -3                  -27
                  64                63000         2.5954979549733091E-07         3.0000000000000000E+02        -1.0446999999999823E+01                   7                   31                   -7                  -31
                  65                64000         2.6354617109734487E-07         3.0000000000000000E+02        -1.2358999999999824E+01                   7                   39                   -7                  -39
                  66                65000         2.6777048497262388E-07         3.0000000000000000E+02        -1.0817999999999836E+01                   4                   38                   -4                  -38
                  67                66000         2.7170508677300592E-07         3.0000000000000000E+02        -1.0534999999999838E+01                   5                   35                   -5                  -35
                  68                67000         2.7592672071078407E-07         3.0000000000000000E+02        -1.0056999999999842E+01                   5                   33                   -5                  -33
                  69                68000         2.8011419198016206E-07         3.0000000000000000E+02        -9.1009999999998286E+00                   5                   29                   -5                  -29
                  70                69000         2.8408070449653770E-07         3.0000000000000000E+02        -8.9059999999998318E+00                   4                   30                   -4                  -30
                  71                70000         2.8834117291850073E-07         3.0000000000000000E+02        -9.4909999999998185E+00                   7                   27                   -7                  -27
                  72                71000         2.9263818222042161E-07         3.0000000000000000E+02        -9.2959999999998129E+00                   6                   28                   -6                  -28
                  73                72000         2.9686254177391228E-07         3.0000000000000000E+02        -8.0379999999998013E+00                   2                   30                   -2                  -30
                  74                73000         3.0110011853579526E-07         3.0000000000000000E+02        -1.0144999999999794E+01                   3                   37                   -3                  -37
                  75                74000         3.0543861288463656E-07         3.0000000000000000E+02        -9.6669999999997938E+00                   3                   35                   -3                  -35
                  76                75000         3.0925278001635988E-07         3.0000000000000000E+02        -8.6229999999997951E+00                   5                   27                   -5                  -27
                  77                76000         3.1329439094996731E-07         3.0000000000000000E+02        -1.0534999999999803E+01                   5                   35                   -5                  -35
                  78                77000         3.1743767727777689E-07         3.0000000000000000E+02        -8.4279999999997930E+00                   4                   28                   -4                  -28
                  79                78000         3.2170978115626512E-07         3.0000000000000000E+02        -1.2163999999999808E+01                   6                   40                   -6                  -40
                  80                79000         3.2557581339080828E-07         3.0000000000000000E+02        -9.7929999999997879E+00                  11                   21                  -11                  -21
                  81                80000         3.2975230215070573E-07         3.0000000000000000E+02        -1.1295999999999815E+01                   4                   40                   -4                  -40
                  82                81000         3.3381620205118238E-07         3.0000000000000000E+02        -5.7359999999997884E+00                   0                   24                    0                  -24
                  83                82000         3.3819916582066220E-07         3.0000000000000000E+02        -9.5789999999997821E+00                   5                   31                   -5                  -31
                  84                83000         3.4204888673475185E-07         3.0000000000000000E+02        -8.9059999999997856E+00                   4                   30                   -4                  -30
                  85                84000         3.4609077548609781E-07         3.0000000000000000E+02        -1.1792999999999784E+01                   9                   33                   -9                  -33
                  86                85000         3.5018648380951377E-07         3.0000000000000000E+02        -9.5789999999997875E+00                   5                   31                   -5                  -31
                  87                86000         3.5416958630106365E-07         3.0000000000000000E+02        -9.6669999999997955E+00                   3                   35                   -3                  -35
                  88                87000         3.5813989880211765E-07         3.0000000000000000E+02        -1.0641999999999774E+01                   8                   30                   -8                  -30
                  89                88000         3.6230550393721105E-07         3.0000000000000000E+02        -6.2329999999997687E+00                   5                   17                   -5                  -17
                  90                89000         3.6630988885601565E-07         3.0000000000000000E+02        -1.1792999999999774E+01                   9                   33                   -9                  -33
                  91                90000         3.7059728110585686E-07         3.0000000000000000E+02        -6.7989999999997695E+00                   3                   23                   -3                  -23
                  92                91000         3.7469037677638777E-07         3.0000000000000000E+02        -9.0129999999997406E+00                   7                   25                   -7                  -25
                  93                92000         3.7885096393691398E-07         3.0000000000000000E+02        -8.9059999999997466E+00                   4                   30                   -4                  -30
                  94                93000         3.8301734095994544E-07         3.0000000000000000E+02        -1.2836999999999760E+01                   7                   41                   -7                  -41
                  95                94000         3.8711380283760553E-07         3.0000000000000000E+02        -8.2329999999997536E+00                   3                   29                   -3                  -29
                  96                95000         3.9120795932362601E-07         3.0000000000000000E+02        -7.9499999999997550E+00                   4                   26                   -4                  -26
                  97                96000         3.9534937716018406E-07         3.0000000000000000E+02        -1.0729999999999745E+01                   6                   34                   -6                  -34
                  98                97000         3.9921498775082014E-07         3.0000000000000000E+02        -1.0534999999999737E+01                   5                   35                   -5                  -35
                  99                98000         4.0316147031024350E-07         3.0000000000000000E+02        -8.9939999999997351E+00                   2                   34                   -2                  -34
                 100                99000         4.0733063073920443E-07         3.0000000000000000E+02        -9.1009999999997468E+00                   5                   29                   -5                  -29
