               Entry              Nevents                           Time                    Temperature                         Energy                 CO*                   CO
                   1                    0         0.0000000000000000E+00         3.0000000000000000E+02         0.0000000000000000E+00                   0                    0
                   2                 1000         1.8312617761422464E-08         3.0000000000000000E+02        -8.6800000000000010E-01                   2                   -2
                   3                 2000         3.6124074380997044E-08         3.0000000000000000E+02        -2.6040000000000001E+00                   6                   -6
                   4                 3000         5.3490481832856126E-08         3.0000000000000000E+02        -1.1102230246251565E-16                   0                    0
                   5                 4000         7.2338744035720459E-08         3.0000000000000000E+02        -8.6800000000000010E-01                   2                   -2
                   6                 5000         8.9373933523717466E-08         3.0000000000000000E+02        -8.6800000000000010E-01                   2                   -2
                   7                 6000         1.0835686099442271E-07         3.0000000000000000E+02        -8.6800000000000010E-01                   2                   -2
                   8                 7000         1.2771599576272653E-07         3.0000000000000000E+02        -1.7360000000000000E+00                   4                   -4
                   9                 8000         1.4606775471463258E-07         3.0000000000000000E+02        -1.7360000000000000E+00                   4                   -4
                  10                 9000         1.6444546803637021E-07         3.0000000000000000E+02        -8.6800000000000010E-01                   2                   -2
                  11                10000         1.8225251131864478E-07         3.0000000000000000E+02        -8.6800000000000010E-01                   2                   -2
                  12                11000         1.9894295625405076E-07         3.0000000000000000E+02        -1.7360000000000000E+00                   4                   -4
                  13                12000         2.1668132905226282E-07         3.0000000000000000E+02        -1.7360000000000000E+00                   4                   -4
                  14                13000         2.3423401214154555E-07         3.0000000000000000E+02        -1.7360000000000000E+00                   4                   -4
                  15                14000         2.5310220759768786E-07         3.0000000000000000E+02        -2.6040000000000001E+00                   6                   -6
                  16                15000         2.7107622438812366E-07         3.0000000000000000E+02        -1.7360000000000000E+00                   4                   -4
                  17                16000         2.9011752285238494E-07         3.0000000000000000E+02        -8.6800000000000010E-01                   2                   -2
                  18                17000         3.0966651998396182E-07         3.0000000000000000E+02        -1.1102230246251565E-16                   0                    0
                  19                18000         3.2660278448304374E-07         3.0000000000000000E+02        -8.6800000000000010E-01                   2                   -2
                  20                19000         3.4439935290803215E-07         3.0000000000000000E+02        -1.7360000000000000E+00                   4                   -4
                  21                20000         3.6276811291514609E-07         3.0000000000000000E+02        -1.7360000000000000E+00                   4                   -4
                  22                21000         3.8040691682889822E-07         3.0000000000000000E+02        -8.6800000000000010E-01                   2                   -2
                  23                22000         3.9794703510715309E-07         3.0000000000000000E+02        -8.6800000000000010E-01                   2                   -2
                  24                23000         4.1542593311274890E-07         3.0000000000000000E+02        -2.6040000000000001E+00                   6                   -6
                  25                24000         4.3345833718796092E-07         3.0000000000000000E+02        -1.1102230246251565E-16                   0                    0
                  26                25000         4.5041886805808285E-07         3.0000000000000000E+02        -8.6800000000000010E-01                   2                   -2
                  27                26000         4.6958437556781292E-07         3.0000000000000000E+02        -1.7360000000000000E+00                   4                   -4
                  28                27000         4.8622546133230207E-07         3.0000000000000000E+02        -1.7360000000000000E+00                   4                   -4
